Family_Name	Name	Resources_Annotated	Sources_Annotated	Resources_Computed	Sources_Computed
Moore	Denny	9	9	3	3
Fehn	Anne-Maria	9	9	0	0
Gerber	Pascal	9	9	0	0
von Fürer-Haimendorf	Christoph	9	9	0	0
Regmi	Ambika	9	12	0	0
Geurtjens	Hendrik	9	9	0	0
Granberry	Julian	9	9	1	1
Guarisma	Gladys	9	10	4	4
Haas	Mary R.	9	9	4	4
Straube	Helmut	9	9	1	1
Haokip	Pauthang	9	9	0	0
Loeweke	Eunice	9	10	4	4
May	Jean	9	10	4	4
Luo	Yongxian	9	9	0	0
Hickey	Raymond	9	9	7	7
Honti	László	9	9	1	1
LaPolla	Randy J.	9	9	7	7
Iribaram	Siti Masitha	9	9	0	0
Roberts	James	9	9	0	0
Torday	Emil	9	10	4	4
Kaji	Shigeki	9	9	8	8
Welmers	William E.	9	10	3	3
Kibe	Nobuko	9	9	0	0
Kazama	Shinjiro	9	9	4	4
O'Grady	Geoffrey N.	9	9	7	7
Lean	Glendon A.	9	9	0	0
Leyew	Zelealem	9	9	7	7
Liang	Min	9	9	1	1
Mao	Zongwu	9	9	2	2
Lowie	R. H.	9	9	0	0
Man	Edward H.	9	9	1	1
McKaughan	Howard P.	9	9	10	11
Mayers	Marvin K.	9	9	5	5
McGregor	William	9	9	18	19
Mixco	Mauricio J.	9	9	2	2
Moreno	Martino Mario	9	9	1	1
Nikulin	Andrey	9	9	0	0
Nordenskiöld	Erland	9	9	0	0
Peckham	Lloyd	9	9	1	1
Peeke	M. Catherine	9	9	2	2
Queixalós	Francisco	9	9	2	2
Reichel-Dolmatoff	Gerardo	9	9	7	7
Reinisch	Leo	9	9	10	10
Rubin	Aaron D.	9	9	1	1
Sakiyama	Osamu	9	9	1	1
Sanders	Joy	9	9	2	2
Shashi	S. S.	9	9	0	0
Stilo	Donald L.	9	9	0	0
Strong	W. M.	9	9	1	1
Wangmo	Sonam	9	9	0	0
Susnik	Branislava	9	9	2	2
Tereščenko	Natal'ja M.	9	9	0	0
Urban	Matthias	9	9	2	2
Werner	Heinrich	9	9	2	3
Vydrina	Alexandra	9	9	2	2
Woldemariam	Hirut	9	9	0	0
Yukawa	Yasutoshi	9	13	5	5
Post	Mark W.	8	8	2	2
Adelaar	K. A.	8	8	2	2
Aikhenvald	Alexandra	8	8	4	4
Brye	Elizabeth	8	8	5	5
Norton	Russell	8	8	0	0
van der Veen	Lolke J.	8	8	0	0
Soravia	Giulio	8	8	2	2
Clynes	Adrian	8	8	0	0
Zaborski	Andrzej	8	8	9	9
Mesthrie	Rajend	8	8	3	3
Dumézil	Georges	8	8	0	0
Harrison	K. David	8	8	4	4
Idiatov	Dmitry	8	8	4	4
Hamm	Cameron	8	8	6	6
Johnson	Eric	8	8	6	7
Wilson	William André Auquier	8	8	14	15
Lissarrague	Amanda	8	8	2	2
Thomas	Jacqueline Mauricette Christiane	8	9	10	12
Bai	Bibo	8	8	0	0
Banker	John E.	8	8	1	1
Banti	Giorgio	8	8	4	4
Barlow	Russell	8	8	1	1
Baskakov	N. A.	8	8	8	8
Baskaran	S. Ganesh	8	8	0	0
Batic	Gian Claudio	8	8	0	0
Woidich	Manfred	8	8	1	1
Bender	M. Lionel	8	8	3	3
Burrow	Thomas	8	8	1	1
Harrison	Sheldon P.	8	8	4	4
Smith	Alexander D.	8	8	1	1
Boas	F.	8	8	1	1
Bohannan	L.	8	8	0	0
Motingea	Mangulu	8	8	3	3
Muluwa	Joseph Koni	8	8	0	0
Brewis	Kielo A.	8	8	0	0
Rivierre	Jean-Claude	8	8	2	2
Kogan	Leonid	8	8	0	0
Estrada Fernández	Zarina	8	8	2	2
Callaghan	Catherine A.	8	8	0	0
Camargo	Eliane	8	8	7	7
Tersis	Nicole	8	8	2	2
Castrén	Matthias Alexander	8	8	2	2
Soriente	Antonia	8	8	0	0
Chadwick	Neil	8	8	4	4
Chafe	Wallace L.	8	8	5	5
Chamoreau	Claudine	8	8	3	3
Yan	Qixiang	8	8	0	0
Schultz	Harald	8	9	1	1
Oguri	Hiroko	8	8	0	0
Gregerson	Kenneth J.	8	8	11	12
Shin	Chong	8	8	0	0
Meyer	Ronny	8	8	4	5
Slocum	Marianna C.	8	8	8	8
Payne	David L.	8	9	7	7
Huang	Bufan	8	8	1	1
Dalby	David	8	8	11	11
Jordan	Linda	8	8	0	0
Miller	Wick R.	8	8	4	4
Davis	Irvine	8	8	3	3
Phillips	Audra	8	8	2	2
Parks	Douglas R.	8	8	3	3
Dirr	Adolf	8	8	3	3
Doneux	Jean Léonce	8	8	6	7
Drucker	P.	8	8	0	0
Simons	Gary F.	8	9	4	4
Egerod	Søren	8	8	10	10
Ehrenreich	Paul	8	11	5	5
Estermann	Carlos	8	8	3	4
Palmer	Bill	8	8	5	5
Wilts	Ommo	8	8	2	2
Radin	Paul	8	8	5	5
de la Grasserie	Raoul	8	8	1	1
Georg	Stefan	8	9	3	3
Volodin	A. P.	8	8	2	2
Qu	Aitang	8	8	0	0
Goodenough	W. H.	8	9	0	0
Massam	Diane	8	8	11	13
Gudschinsky	Sarah C.	8	8	1	1
Gusain	Lakhan	8	8	0	0
Robinson	Laura C.	8	8	2	2
Teferra	Anbessa	8	8	7	7
Hsiu	Andrew	8	8	0	0
Hurlbut	Hope M.	8	8	1	1
Innes	Gordon	8	8	5	5
Jarring	Gunnar	8	8	1	1
Kähler	Hans	8	8	1	1
Purba	Theodorus T.	8	8	0	0
Starostin	George	8	8	0	0
Kato	Atsuhiko	8	8	0	0
Keesing	R. M.	8	8	0	0
Kern	H.	8	8	0	0
Kibrik	Aleksandr E.	8	9	4	4
Kieffer	Charles M.	8	8	1	1
Waag	Christine	8	8	0	0
Kilpatrick	Eileen	8	8	1	1
Köhler	Oswin	8	8	4	5
Zhou	Guoyan	8	8	0	0
Krämer	Augustin	8	8	0	0
Krejnovič	Eruxim A.	8	8	0	0
Sumbatova	Nina R.	8	8	4	4
Lanyon-Orgill	Peter A.	8	8	4	4
Latham	Robert Gordon	8	8	4	4
Lehmann-Nitsche	Robert	8	8	0	0
Loeb	E. M.	8	8	0	0
Parker	Stephen G.	8	8	5	5
Lu	Shaozun	8	8	2	2
MacKay	Carolyn J.	8	8	1	1
Maingard	L. F.	8	8	1	1
Martens	Michael P.	8	8	5	5
Martin	Peter W.	8	8	1	1
Matsushita	Shuji	8	8	7	7
McGregor	William B.	8	8	20	20
Rumsey	Alan	8	8	5	5
Migliazza	Ernesto C.	8	8	2	2
Mihas	Elena	8	8	2	2
Mitani	Yasuyuki	8	8	0	0
Müller	Friedrich	8	9	33	33
Needham	Rodney	8	8	4	4
Nothofer	Bernd	8	8	0	0
Oates	Lynette F.	8	8	2	2
Payne	Thomas E.	8	8	9	9
Margery Peña	Enrique	8	8	8	8
Pichl	Walter	8	8	0	0
Pöch	Rudolf	8	8	0	0
Rongier	Jacques	8	8	1	1
Usher	Timothy	8	8	0	0
Sande	Hannah	8	8	0	0
Thelwall	Robin	8	8	1	1
Schebesta	P.	8	8	0	0
Senft	Gunter	8	8	3	3
Shaul	David L.	8	8	1	1
Skinner	A.	8	8	0	0
Pompeu Sobrinho	Thomas	8	8	1	1
Soustelle	Jacques	8	8	0	0
Taine-Cheikh	Catherine	8	8	6	7
Vanoverbergh	Morice	8	8	2	3
van der Voort	Hein	8	8	4	4
Vovin	Alexander	8	8	7	7
Vries	Lourens J. de	8	8	0	0
Waltz	Nathan E.	8	8	7	7
Wang	Feng	8	8	2	2
Werner	Alice	8	8	4	4
Wilkendorf	Patricia	8	8	4	4
Zorc	David P.	8	8	0	0
Abaev	Vasilij I.	7	7	0	0
Fédry	Jacques	7	7	4	4
Sim	Ronald J.	7	7	6	6
Decker	Ken	7	38	0	0
Abraham	Roy Clive	7	7	12	12
Loving	Richard	7	7	15	17
Adelaar	Alexander K.	7	7	0	0
Iper	Dunis	7	7	0	0
Sangma	Mridul	7	7	1	1
Magnusson	Carol	7	7	1	1
Yoder	Zachariah	7	7	2	2
Aklilu	Yilma	7	7	11	13
Alexandre	Pierre	7	7	5	5
Alio	Khalil	7	7	1	1
Allen	Jerry	7	8	1	1
Alpher	Barry	7	7	4	4
Aritonang	Buha	7	12	0	0
Astar	Hidayatul	7	11	0	0
Wilson	Patricia	7	7	0	0
Amery	Robert M.	7	7	3	3
Anderson	Gregory D.S.	7	7	4	4
Angenot	Jean-Pierre	7	7	10	12
Flassy	Don A. L.	7	7	1	1
Fautngil	Christ	7	7	0	0
