Glottocode	Sources	Latitude	Longitude	Family	Macroarea
rohi1238	5	20.833082	92.393968	Indo-European [indo1319]	Eurasia
west2513	4	-15.4281	167.807	Austronesian [aust1307]	Papunesia
sher1255	19	27.674	86.9994	Sino-Tibetan [sino1245]	Eurasia
torr1259	7	-3.45292	142.622	Nuclear Torricelli [nucl1708]	Papunesia
kari1301	4	3.42825	-51.6888	Indo-European [indo1319]	South America
anyi1244	2	6.1627	-4.64232	Atlantic-Congo [atla1278]	Africa
sema1269	10	-0.75188	110.527	Austronesian [aust1307]	Papunesia
baja1265	10	13.1365	-59.5346	Indo-European [indo1319]	North America
kusu1252	12	-3.61459	25.2923	Atlantic-Congo [atla1278]	Africa
biaf1240	10	11.467	-15.1347	Atlantic-Congo [atla1278]	Africa
paux1236	4	1.451688	-62.518616	Cariban [cari1283]	South America
keri1250	12	-1.93668	101.403	Austronesian [aust1307]	Papunesia
kaid1239	8	0.85641	123.217	Austronesian [aust1307]	Papunesia
goro1259	18	0.62689	122.288	Austronesian [aust1307]	Papunesia
mala1481	13	1.48099	124.843	Austronesian [aust1307]	Papunesia
bant1286	12	1.44586	124.846	Austronesian [aust1307]	Papunesia
mong1342	8	0.64616	124.114	Austronesian [aust1307]	Papunesia
alor1247	7	-8.20382	124.264	Austronesian [aust1307]	Papunesia
ende1246	6	-8.70998	121.555	Austronesian [aust1307]	Papunesia
abui1241	16	-8.31058	124.588	Timor-Alor-Pantar [timo1261]	Papunesia
lama1278	7	-8.53225	123.442	Austronesian [aust1307]	Papunesia
lole1239	6	-10.8069	123.085	Austronesian [aust1307]	Papunesia
bang1368	7	-1.58305	123.171	Austronesian [aust1307]	Papunesia
sela1260	9	-6.10145	120.496	Austronesian [aust1307]	Papunesia
iliu1237	8	-7.84385	125.902	Austronesian [aust1307]	Papunesia
maka1311	22	-5.65551	119.838	Austronesian [aust1307]	Papunesia
yaur1239	14	-3.32519	134.879	Austronesian [aust1307]	Papunesia
kang1289	5	-7.98335	112.968	Austronesian [aust1307]	Papunesia
kota1275	8	-0.27049	116.297	Austronesian [aust1307]	Papunesia
keni1248	6	-0.63184	111.808	Austronesian [aust1307]	Papunesia
aohe1237	13	0.87404	114.127	Austronesian [aust1307]	Papunesia
otda1235	19	-0.3955	113.469	Austronesian [aust1307]	Papunesia
main1275	16	3.54443	114.039	Austronesian [aust1307]	Papunesia
indo1317	11	-3.68664	122.253	Austronesian [aust1307]	Papunesia
wawo1239	5	-4.13587	123.1	Austronesian [aust1307]	Papunesia
mama1276	7	-3.0811	119.484	Austronesian [aust1307]	Papunesia
lamp1242	9	-4.43957	105.397	Austronesian [aust1307]	Papunesia
kaur1269	4	-4.6251	103.512	Austronesian [aust1307]	Papunesia
goan1235	42	15.2732	74.2098	Indo-European [indo1319]	Eurasia
pagi1243	15	3.15636	22.1212	Atlantic-Congo [atla1278]	Africa
gutn1238	10	57.95167	19.1629	Indo-European [indo1319]	Eurasia
maga1260	16	25.0915	85.3335	Indo-European [indo1319]	Eurasia
lowe1415	16	-4.25684	138.992	Nuclear Trans New Guinea [nucl1709]	Papunesia
iber1250	10	40.624	0.212401		Eurasia
chal1269	6	8.00089	0.50896	Atlantic-Congo [atla1278]	Africa
bona1250	13	35.515	102.01778	Mongolic-Khitan [mong1349]	Eurasia
jurc1239	10	44.412626	126.866803	Tungusic [tung1282]	Eurasia
athi1234	2	-17.2	142.4	Pama-Nyungan [pama1250]	Australia
aghu1254	3	-13.735	142.426	Pama-Nyungan [pama1250]	Australia
kawa1290	3	-16.1	142.5	Pama-Nyungan [pama1250]	Australia
bang1339	13	-33.3036	136.079	Pama-Nyungan [pama1250]	Australia
assy1241	22	36.75	43.0	Afro-Asiatic [afro1255]	Eurasia
kyen1242	9	11.5953	3.58651	Mande [mand1469]	Africa
moin1241	2	1.20615	23.5035	Atlantic-Congo [atla1278]	Africa
angg1239	6	-4.0836	139.457	Nuclear Trans New Guinea [nucl1709]	Papunesia
slov1269	9	48.545705	18.78479	Indo-European [indo1319]	Eurasia
mang1398	4	8.75884	16.9082	Central Sudanic [cent2225]	Africa
idak1243	14	0.21557	34.817	Atlantic-Congo [atla1278]	Africa
fran1266	8	17.3654	-93.3633	Mixe-Zoque [mixe1284]	North America
guad1242	22	16.304875	-61.405914	Indo-European [indo1319]	North America
mani1294	6	8.83338	1.69523	Atlantic-Congo [atla1278]	Africa
wand1278	24	11.3169	13.8996	Afro-Asiatic [afro1255]	Africa
huau1238	29	18.2556	-96.724	Otomanguean [otom1299]	North America
embe1259	3	5.2824	-76.32548	Chocoan [choc1280]	South America
sici1248	16	37.5735	14.0414	Indo-European [indo1319]	Eurasia
nonu1241	13	-1.25	-72.5	Huitotoan [huit1251]	South America
wich1262	15	-21.988	-63.5971	Matacoan [mata1289]	South America
eton1253	10	4.21045	11.3935	Atlantic-Congo [atla1278]	Africa
para1310	13	-3.71263	-53.0657	Cariban [cari1283]	South America
mayo1270	2	-4.979863	-70.038757	Pano-Tacanan [pano1259]	South America
agta1234	20	17.0538	122.2802	Austronesian [aust1307]	Papunesia
namu1249	3	-8.578948	120.975435	Austronesian [aust1307]	Papunesia
ngga1239	2	-9.71011	119.25403	Austronesian [aust1307]	Papunesia
