Glottocode	Sources	Latitude	Longitude	Family	Macroarea
kago1247	0	9.22607	8.18694	Atlantic-Congo [atla1278]	africa
wals1238	4	46.6995	9.18266	Indo-European [indo1319]	eurasia
sout3241	0	4.0	117.75	Austronesian [aust1307]	pacific
chin1476	2	48.7593	117.786	Mongolic-Khitan [mong1349]	eurasia
main1272	0	-18.3143	36.5941	Atlantic-Congo [atla1278]	africa
makh1266	0	-13.6443	39.5323	Atlantic-Congo [atla1278]	africa
ikpo1238	7	7.44776	0.83312	Atlantic-Congo [atla1278]	africa
tain1254	1	18.2836	-66.8042	Arawakan [araw1281]	northamerica
quer1236	4	20.1396	-100.115	Otomanguean [otom1299]	northamerica
sang1334	0	-8.376	118.29287	Austronesian [aust1307]	pacific
ghan1244	1	5.793241	-0.283641	Indo-European [indo1319]	africa
konz1239	5	0.32395	29.8696	Atlantic-Congo [atla1278]	africa
ekar1243	1	-3.88974	136.018	Nuclear Trans New Guinea [nucl1709]	pacific
lomb1257	3	45.8817	9.39509	Indo-European [indo1319]	eurasia
chha1249	0	20.3601	82.0483	Indo-European [indo1319]	eurasia
lugb1240	9	3.02245	30.8642	Central Sudanic [cent2225]	africa
gaga1249	6	44.59876	28.02769	Turkic [turk1311]	eurasia
mitu1240	0	-1.57031	25.104	Atlantic-Congo [atla1278]	africa
grom1238	15	27.6089	88.8541	Sino-Tibetan [sino1245]	eurasia
dani1285	57	54.8655	9.36284	Indo-European [indo1319]	eurasia
caol1238	5	23.2541	105.521	Tai-Kadai [taik1256]	eurasia
sele1249	4	7.17462	0.42458	Atlantic-Congo [atla1278]	africa
aros1241	2	-10.2441	161.432	Austronesian [aust1307]	pacific
sher1257	0	27.0035	92.5799	Sino-Tibetan [sino1245]	eurasia
sasa1249	3	-8.58349	116.284	Austronesian [aust1307]	pacific
tulu1258	5	12.8114	75.2651	Dravidian [drav1251]	eurasia
konk1267	6	18.404	73.994	Indo-European [indo1319]	eurasia
kani1275	0	8.44163	77.2465	Dravidian [drav1251]	eurasia
oldt1248	0	11.0	78.0	Dravidian [drav1251]	eurasia
mmen1238	7	6.43213	10.2541	Atlantic-Congo [atla1278]	africa
jude1266	7	31.5339	41.2595	Afro-Asiatic [afro1255]	eurasia
esan1238	4	6.25685	6.33917	Atlantic-Congo [atla1278]	africa
east2545	4	38.5647	-122.586	Pomoan [pomo1273]	northamerica
nort2968	0	38.4179	-120.588	Miwok-Costanoan [miwo1274]	northamerica
sout2985	3	38.2363	-120.507	Miwok-Costanoan [miwo1274]	northamerica
tule1245	0	36.05354	-118.768616	Yokutsan [yoku1255]	northamerica
cent2140	0	38.0812	-120.257	Miwok-Costanoan [miwo1274]	northamerica
bari1286	4	-5.5087	148.666	Austronesian [aust1307]	pacific
shol1240	1	11.9458	77.2211	Dravidian [drav1251]	eurasia
prin1242	1	1.614	7.392	Indo-European [indo1319]	africa
fada1250	0	-1.43033	5.61879	Indo-European [indo1319]	africa
pata1261	0	-15.9167	-40.0333	Nuclear-Macro-Je [nucl1710]	southamerica
etru1241	10	41.9	12.4833		eurasia
ukue1238	2	7.41643	5.85139	Atlantic-Congo [atla1278]	africa
iyay1238	0	7.30076	5.84326	Atlantic-Congo [atla1278]	africa
akpe1248	4	7.50256	5.95559	Atlantic-Congo [atla1278]	africa
slav1254	3	41.89	14.7	Indo-European [indo1319]	eurasia
cana1262	9	-2.48314	-78.9672	Quechuan [quec1387]	southamerica
hemb1242	4	-7.77459	27.5913	Atlantic-Congo [atla1278]	africa
west2651	5	6.90704	-72.6507	Chibchan [chib1249]	southamerica
nkor1239	4	4.57641	7.45802	Ijoid [ijoi1239]	africa
nuku1263	4	-7.339	-73.5044	Pano-Tacanan [pano1259]	southamerica
yawa1260	4	-8.87563	-71.8199	Pano-Tacanan [pano1259]	southamerica
kais1242	0	-2.171598	-67.319199	Arawakan [araw1281]	southamerica
mill1237	3	-31.79729	-67.569581	Huarpean [huar1251]	southamerica
hitu1239	0	-3.57478	128.186	Austronesian [aust1307]	pacific
kofy1242	0	8.79947	9.15279	Afro-Asiatic [afro1255]	africa
apro1235	0	5.20273	-4.52192	Atlantic-Congo [atla1278]	africa
